
index,time,bid,bidvol,ask,askvol
176,2014-11-05 12:27:00,33.85,20942.00,33.86,4201.00
177,2014-11-05 12:28:00,33.84,3472.00,33.85,5351.00
178,2014-11-05 12:29:00,33.85,4499.00,33.86,3674.00
179,2014-11-05 12:30:00,33.85,1833.00,33.86,10008.00
180,2014-11-05 12:31:00,33.85,5200.00,33.86,5216.00
181,2014-11-05 12:32:00,33.85,4100.00,33.86,4730.00
182,2014-11-05 12:33:00,33.87,4900.00,33.88,2500.00
183,2014-11-05 12:34:00,33.87,6372.00,33.88,800.00
184,2014-11-05 12:35:00,33.87,4350.00,33.88,4511.00
185,2014-11-05 12:36:00,33.87,7328.00,33.88,1751.00
186,2014-11-05 12:37:00,33.87,2700.00,33.88,8970.00
187,2014-11-05 12:38:00,33.86,4852.00,33.87,3296.00
188,2014-11-05 12:39:00,33.86,8262.00,33.87,2372.00
189,2014-11-05 12:40:00,33.88,7706.00,33.89,100.00
190,2014-11-05 12:41:00,33.88,7796.00,33.89,3701.00
191,2014-11-05 12:42:00,33.88,7874.00,33.89,2500.00
192,2014-11-05 12:43:00,33.88,7764.00,33.89,3015.00
193,2014-11-05 12:44:00,33.86,5248.00,33.87,4500.00
194,2014-11-05 12:45:00,33.87,5500.00,33.88,3700.00
195,2014-11-05 12:46:00,33.88,7810.00,33.89,1999.00
196,2014-11-05 12:47:00,33.88,19697.00,33.89,1200.00
197,2014-11-05 12:48:00,33.90,5425.00,33.91,7435.00
198,2014-11-05 12:49:00,33.89,4287.00,33.90,9439.00
199,2014-11-05 12:50:00,33.89,6800.00,33.90,5438.00
200,2014-11-05 12:51:00,33.89,5881.00,33.90,5938.00
201,2014-11-05 12:52:00,33.88,13254.00,33.89,6200.00
202,2014-11-05 12:53:00,33.85,9932.00,33.86,3400.00
203,2014-11-05 12:54:00,33.87,5300.00,33.88,9536.00
204,2014-11-05 12:55:00,33.86,10362.00,33.87,1257.00
205,2014-11-05 12:56:00,33.86,9150.00,33.87,3300.00
206,2014-11-05 12:57:00,33.85,5647.00,33.86,3300.00
207,2014-11-05 12:58:00,33.83,10870.00,33.84,4111.00
208,2014-11-05 12:59:00,33.82,12268.00,33.83,2500.00
209,2014-11-05 13:00:00,33.84,5372.00,33.85,5432.00
210,2014-11-05 13:01:00,33.83,13997.00,33.84,7050.00
211,2014-11-05 13:02:00,33.83,8814.00,33.84,2694.00
212,2014-11-05 13:03:00,33.83,6197.00,33.84,5802.00
213,2014-11-05 13:04:00,33.87,6200.00,33.88,4821.00
214,2014-11-05 13:05:00,33.86,1630.00,33.87,8880.00
215,2014-11-05 13:06:00,33.87,7453.00,33.88,5249.00
216,2014-11-05 13:07:00,33.86,8725.00,33.87,1243.00
217,2014-11-05 13:08:00,33.83,8105.00,33.84,2300.00
218,2014-11-05 13:09:00,33.82,7300.00,33.83,4986.00
219,2014-11-05 13:10:00,33.83,230.00,33.84,5997.00
220,2014-11-05 13:11:00,33.83,4980.00,33.84,2200.00
221,2014-11-05 13:12:00,33.83,2409.00,33.84,4000.00
222,2014-11-05 13:13:00,33.84,488.00,33.85,5795.00
223,2014-11-05 13:14:00,33.81,6456.00,33.82,3300.00
224,2014-11-05 13:15:00,33.80,9170.00,33.81,5400.00
225,2014-11-05 13:16:00,33.82,6200.00,33.83,5100.00
226,2014-11-05 13:17:00,33.83,9489.00,33.84,2532.00
227,2014-11-05 13:18:00,33.83,2379.00,33.84,8205.00
228,2014-11-05 13:19:00,33.82,5600.00,33.83,7979.00
229,2014-11-05 13:20:00,33.80,1300.00,33.81,6943.00
230,2014-11-05 13:21:00,33.82,5100.00,33.83,200.00
231,2014-11-05 13:22:00,33.80,1422.00,33.81,5517.00
232,2014-11-05 13:23:00,33.81,4500.00,33.82,6613.00
233,2014-11-05 13:24:00,33.81,5200.00,33.82,5701.00
234,2014-11-05 13:25:00,33.81,6300.00,33.82,3100.00
235,2014-11-05 13:26:00,33.87,4200.00,33.88,8477.00
236,2014-11-05 13:27:00,33.87,2669.00,33.88,5799.00
237,2014-11-05 13:28:00,33.86,3800.00,33.87,2201.00
238,2014-11-05 13:29:00,33.88,4628.00,33.89,2708.00
239,2014-11-05 13:30:00,33.90,6605.00,33.91,836.00
240,2014-11-05 13:31:00,33.86,6911.00,33.87,800.00
241,2014-11-05 13:32:00,33.87,800.00,33.88,10752.00
242,2014-11-05 13:33:00,33.88,5823.00,33.89,5400.00
243,2014-11-05 13:34:00,33.87,1600.00,33.88,2901.00
244,2014-11-05 13:35:00,33.84,5524.00,33.85,3691.00
245,2014-11-05 13:36:00,33.84,1032.00,33.85,16940.00
246,2014-11-05 13:37:00,33.79,3200.00,33.80,4910.00
247,2014-11-05 13:38:00,33.78,4076.00,33.79,3200.00
248,2014-11-05 13:39:00,33.75,7554.00,33.76,4900.00
249,2014-11-05 13:40:00,33.75,3520.00,33.76,6412.00
250,2014-11-05 13:41:00,33.74,9525.00,33.75,8400.00
251,2014-11-05 13:42:00,33.75,7504.00,33.76,800.00
252,2014-11-05 13:43:00,33.74,12794.00,33.75,5200.00
253,2014-11-05 13:44:00,33.73,5642.00,33.74,1700.00
254,2014-11-05 13:45:00,33.72,6200.00,33.73,3902.00
255,2014-11-05 13:46:00,33.71,11305.00,33.72,3900.00
256,2014-11-05 13:47:00,33.71,8507.00,33.72,5500.00
257,2014-11-05 13:48:00,33.72,5130.00,33.73,3904.00
258,2014-11-05 13:49:00,33.71,1800.00,33.72,6010.00
259,2014-11-05 13:50:00,33.70,8921.00,33.71,1600.00
260,2014-11-05 13:51:00,33.71,3400.00,33.72,8355.00
261,2014-11-05 13:52:00,33.71,2744.00,33.72,9262.00
