Date,Open,High,Low,Close,Volume
2021-08-12 15:55:00,148.95,149.05,148.86,148.885,2785158
2021-08-12 16:00:00,148.89,148.98,148.88,148.9,5973294
2021-08-12 16:05:00,148.9,148.95,148.89,148.95,91362
2021-08-12 16:10:00,148.95,149,148.9201,148.97,23758
2021-08-12 16:15:00,148.97,149,148.96,148.96,14964
2021-08-12 16:20:00,148.99,149,148.97,148.99,2694
2021-08-12 16:25:00,148.99,149.02,148.99,149,9565
2021-08-12 16:30:00,149,149.02,148.98,148.98,7692
2021-08-12 16:35:00,148.98,149.02,148.96,149,12515
2021-08-12 16:40:00,149.02,149.02,149,149,4577
2021-08-12 16:45:00,148.98,149.02,148.98,149.01,7192
2021-08-12 16:50:00,149.02,149.02,148.99,149.01,3972
2021-08-12 16:55:00,149,149,148.99,148.99,3409
2021-08-12 17:00:00,148.99,148.99,148.96,148.96,3712
2021-08-12 17:05:00,148.96,148.99,148.96,148.96,4622
2021-08-12 17:10:00,148.98,149.02,148.97,148.98,12094
2021-08-12 17:15:00,149,149,148.9,148.9,7307
2021-08-12 17:20:00,148.92,148.97,148.9,148.94,3850
2021-08-12 17:25:00,148.9,148.92,148.9,148.9,1599
2021-08-12 17:30:00,148.93,148.94,148.86,148.94,5927
2021-08-12 17:35:00,148.92,148.93,148.92,148.93,1553
2021-08-12 17:40:00,148.95,148.95,148.93,148.93,3222
2021-08-12 17:45:00,148.93,148.95,148.93,148.95,2583
2021-08-12 17:50:00,148.93,148.96,148.92,148.92,4781
2021-08-12 17:55:00,148.92,148.94,148.9,148.94,1198
2021-08-12 18:00:00,148.9399,148.95,148.92,148.94,2645
2021-08-12 18:05:00,148.94,148.95,148.93,148.95,5419
2021-08-12 18:10:00,148.93,148.95,148.92,148.95,2429
2021-08-12 18:15:00,148.92,148.95,148.92,148.92,2565
2021-08-12 18:20:00,148.91,148.95,148.86,148.86,7059
2021-08-12 18:25:00,148.86,148.86,148.84,148.85,3564
2021-08-12 18:30:00,148.85,148.85,148.82,148.82,920
2021-08-12 18:35:00,148.85,148.85,148.85,148.85,363
2021-08-12 18:40:00,148.84,148.89,148.84,148.89,1290
2021-08-12 18:45:00,148.89,148.89,148.88,148.88,1160
2021-08-12 18:50:00,148.88,148.94,148.87,148.94,3470
2021-08-12 18:55:00,148.94,148.94,148.9,148.9001,2893
2021-08-12 19:00:00,148.91,148.91,148.89,148.89,1677
