Date,MA5,MA10,MA20,MACD,K,D,J,RSI6,RSI12,RSI24,BIAS5,BIAS10,BIAS20,OBV,Signal,Close
09-13,29.442,29.485,29.709,-0.080292,0.183298,0.071915,-0.150853,0.5,0.333333,0.458333,-6.8e-05,-0.001526,-0.009054,1046867171.0,-1.0,29.44
09-14,29.398,29.417,29.692,-0.101155,0.048418,0.064082,0.095412,0.5,0.416667,0.5,-0.011838,-0.012476,-0.021622,1020526252.0,1.0,29.05
09-15,29.366,29.368,29.6825,-0.112485,-0.008929,0.039745,0.137094,0.666667,0.5,0.5,-0.01042,-0.010488,-0.020972,1037205997.0,1.0,29.06
09-18,29.404,29.368,29.7,-0.082915,0.157969,0.079153,-0.078479,0.5,0.5,0.5,0.006666,0.0079,-0.003367,1068685945.0,-1.0,29.6
09-19,29.286,29.344,29.6705,-0.079751,0.155627,0.104644,0.002679,0.333333,0.416667,0.5,-0.000205,-0.002181,-0.013161,1050614757.0,-1.0,29.28
09-20,29.244,29.343,29.633,-0.078189,0.135666,0.114985,0.073622,0.5,0.5,0.541667,-0.000479,-0.003851,-0.0136,1025631159.0,1.0,29.23
09-21,29.338,29.368,29.592,-0.056085,0.220879,0.150283,0.009091,0.666667,0.583333,0.541667,0.006204,0.005176,-0.002433,1042213169.0,1.0,29.52
09-22,29.588,29.477,29.584,0.011991,0.466341,0.255636,-0.165775,0.666667,0.583333,0.541667,0.024402,0.028259,0.02454,1084881387.0,1.0,30.31
09-25,29.768,29.586,29.5725,0.072835,0.601336,0.370869,-0.090065,0.5,0.583333,0.5,0.02459,0.030893,0.031364,1116298175.0,-1.0,30.5
09-26,30.004,29.645,29.5855,0.112342,0.66176,0.467833,0.079978,0.5,0.5,0.458333,0.015198,0.027492,0.029558,1099388214.0,-1.0,30.46
09-27,30.244,29.744,29.6145,0.13628,0.668178,0.534614,0.267488,0.5,0.416667,0.416667,0.00615,0.023063,0.027537,1078189818.0,-1.0,30.43
09-28,30.424,29.881,29.649,0.149758,0.657885,0.575705,0.411343,0.333333,0.416667,0.375,-0.000131,0.018038,0.026004,1061872990.0,-1.0,30.42
09-29,30.4,29.994,29.681,0.141355,0.568638,0.573349,0.582771,0.333333,0.5,0.416667,-0.006908,0.006535,0.017149,1046110850.0,1.0,30.19
10-09,30.554,30.161,29.7645,0.201047,0.647517,0.598072,0.499182,0.166667,0.416667,0.416667,0.023434,0.036769,0.05058,1093648221.0,-1.0,31.27
10-10,30.56,30.282,29.813,0.188984,0.529297,0.575147,0.666847,0.333333,0.416667,0.458333,-0.002291,0.006869,0.022708,1036957680.0,1.0,30.49
10-11,30.822,30.533,29.938,0.255528,0.666009,0.605434,0.484284,0.5,0.5,0.5,0.029784,0.039531,0.060191,1091749155.0,1.0,31.74
10-12,31.16,30.792,30.08,0.32008,0.746727,0.652532,0.464141,0.5,0.5,0.458333,0.030488,0.042803,0.067487,1117424302.0,-1.0,32.11
